specimenBiophysicalType,preservationType,fmaAnatomicSourceLocation,pathologicalStatus,diseaseStatus,CtepStudyID,CollectionProtocolStatus,ProtocolCategory,SpecimenCount
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,ANBL00B1,Active,Neuroblastoma,3
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,ANBL0421,Complete,Neuroblastoma,18
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,AOST06B1,Active,Osteosarcoma,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,ASCT1221,Active,Stem Cell Transplantation,6
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,C9710,Complete,Unknown/Unspecified,8
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-105,Complete,Acute Lymphoblastic Leukemia,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-106,Complete,Acute Lymphoblastic Leukemia,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1881,Complete,Acute Lymphoblastic Leukemia,2
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1882,Complete,Acute Lymphoblastic Leukemia,20
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1891,Complete,Acute Lymphoblastic Leukemia,4
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1922,Complete,Unknown/Unspecified,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1951,Complete,Acute Lymphoblastic Leukemia,13
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1952,Complete,Acute Lymphoblastic Leukemia,18
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1961,Complete,Acute Lymphoblastic Leukemia,23
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-1991,Complete,Acute Lymphoblastic Leukemia,15
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-2961,Complete,Acute Myeloid Leukemia,15
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B903,Complete,Unknown/Unspecified,4
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B925,Complete,Acute Lymphoblastic Leukemia,5
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B942,Complete,Acute Myeloid Leukemia,10
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,172
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B957,Complete,Acute Lymphoblastic Leukemia,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-B971,Complete,Central Nervous System Tumors,11
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,CCG-E15,Complete,Acute Lymphoblastic Leukemia,4
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,D9902,Active,Soft Tissue Sarcoma,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Other/Not Specified,P9851,Complete,Osteosarcoma,4
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,A3973,Complete,Neuroblastoma,37
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,ANBL0032,Active,Neuroblastoma,40
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,ANBL00B1,Active,Neuroblastoma,77
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,ANBL12P1,Closed To Accrual,Neuroblastoma,14
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Post-Therapy,CCG-B947,Complete,Unknown/Unspecified,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL03B1,Complete,Acute Lymphoblastic Leukemia,31
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,63
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,86
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,12
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AEWS07B1,Active,Ewing Sarcoma,20
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,20
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANBL0032,Active,Neuroblastoma,28
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,39
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANBL12P1,Closed To Accrual,Neuroblastoma,8
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,44
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,AOST06B1,Active,Osteosarcoma,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,CCG-5941,Complete,Non-Hodgkin Lymphoma,6
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,5
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,6
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Pre-Therapy,P9934,Complete,Central Nervous System Tumors,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,3
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,3
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AALL03B1,Complete,Acute Lymphoblastic Leukemia,33
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AALL08P1,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,30
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AAML1031,Active,Acute Myeloid Leukemia,10
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,81
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,ACNS02B3,Active,Central Nervous System Tumors,10
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,AHOD04B1,Closed To Accrual,Hodgkin Disease,10
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,CCG-1991,Complete,Acute Lymphoblastic Leukemia,50
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,CCG-B947,Complete,Unknown/Unspecified,50
Tissue Slide,Fixed-Formalin,Bone Marrow,Malignant,Therapeutic Relapse,D9902,Active,Soft Tissue Sarcoma,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANBL0032,Active,Neuroblastoma,25
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,32
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANBL12P1,Closed To Accrual,Neuroblastoma,19
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,11
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Therapeutic Relapse,AAML1031,Active,Acute Myeloid Leukemia,31
Tissue Slide,Fixed-Formalin,Bone Marrow,Metastatic,Therapeutic Relapse,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Tissue Slide,Fixed-Formalin,Bone Marrow,Non-Malignant,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,7
Tissue Slide,Fixed-Formalin,Bone Marrow,Non-Malignant,Therapeutic Relapse,AALL03B1,Complete,Acute Lymphoblastic Leukemia,2
Tissue Slide,Fixed-Formalin,Bone Marrow,Non-Malignant,Therapeutic Relapse,AALL08P1,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,2
Tissue Slide,Fixed-Formalin,Bone Marrow,Non-Malignant,Therapeutic Relapse,ABTR01B1,Active,Biopathology and Translational Research,2
Tissue Slide,Fixed-Formalin,Bone Marrow,Not Specified,Other/Not Specified,ASCT1221,Active,Stem Cell Transplantation,5
Tissue Slide,Fixed-Formalin,Bone Marrow,Not Specified,Other/Not Specified,P9934,Complete,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Bone Marrow,Not Specified,Pre-Therapy,AAML0531,Complete,Acute Myeloid Leukemia,8
Tissue Slide,Fixed-Formalin,Bone Marrow,Not Specified,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,8
Tissue Slide,Fixed-Formalin,Bone Marrow,Not Specified,Therapeutic Relapse,AAML1031,Active,Acute Myeloid Leukemia,2
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,A9952,Complete,Central Nervous System Tumors,26
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,A9961,Complete,Central Nervous System Tumors,6
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,35
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,ACNS02B3,Active,Central Nervous System Tumors,441
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,ACNS0423,Complete,Central Nervous System Tumors,4
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,CCG-99701,Complete,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,39
Tissue Slide,Fixed-Formalin,Brain,Malignant,Other/Not Specified,CCG-B971,Complete,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Brain,Malignant,Post-Therapy,ACNS02B3,Active,Central Nervous System Tumors,9
Tissue Slide,Fixed-Formalin,Brain,Malignant,Post-Therapy,ACNS0334,In Review,Central Nervous System Tumors,5
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,5
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0121,Complete,Central Nervous System Tumors,236
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS02B3,Active,Central Nervous System Tumors,428
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0332,Temporarily Closed To Accrual,Central Nervous System Tumors,122
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0333,Temporarily Closed To Accrual,Central Nervous System Tumors,26
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0334,In Review,Central Nervous System Tumors,4
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0822,Closed To Accrual,Central Nervous System Tumors,101
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,ACNS0831,Active,Central Nervous System Tumors,166
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,AEWS07B1,Active,Ewing Sarcoma,38
Tissue Slide,Fixed-Formalin,Brain,Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,4
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ACNS0121,Complete,Central Nervous System Tumors,24
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ACNS02B3,Active,Central Nervous System Tumors,13
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ACNS0831,Active,Central Nervous System Tumors,9
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,ARST0332,Complete,Soft Tissue Sarcoma,21
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,CCG-B947,Complete,Unknown/Unspecified,24
Tissue Slide,Fixed-Formalin,Brain,Malignant,Therapeutic Relapse,D9902,Active,Soft Tissue Sarcoma,21
Tissue Slide,Fixed-Formalin,Brain,Metastatic,Therapeutic Relapse,ACNS02B3,Active,Central Nervous System Tumors,3
Tissue Slide,Fixed-Formalin,Brain,Non-Malignant,Pre-Therapy,ACNS02B3,Active,Central Nervous System Tumors,1
Tissue Slide,Fixed-Formalin,Brain,Non-Malignant,Pre-Therapy,ACNS0831,Active,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Eye,Malignant,On Therapy,AEPI05N1,Closed To Accrual,Epidemiology,2
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,92
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,AEPI05N1,Closed To Accrual,Epidemiology,73
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,ARET0321,Temporarily Closed To Accrual,Retinoblastoma,21
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,ARET0332,Complete,Retinoblastoma,5
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,CCG-7943,Administratively Complete,Osteosarcoma,3
Tissue Slide,Fixed-Formalin,Eye,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,40
Tissue Slide,Fixed-Formalin,Eye,Malignant,Pre-Therapy,AAML1031,Active,Acute Myeloid Leukemia,9
Tissue Slide,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,166
Tissue Slide,Fixed-Formalin,Eye,Malignant,Pre-Therapy,AEPI05N1,Closed To Accrual,Epidemiology,100
Tissue Slide,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ARET0321,Temporarily Closed To Accrual,Retinoblastoma,144
Tissue Slide,Fixed-Formalin,Eye,Malignant,Pre-Therapy,ARET0332,Complete,Retinoblastoma,4
Tissue Slide,Fixed-Formalin,Eye,Malignant,Therapeutic Relapse,AEPI05N1,Closed To Accrual,Epidemiology,2
Tissue Slide,Fixed-Formalin,Eye,Malignant,Therapeutic Relapse,D9902,Active,Soft Tissue Sarcoma,13
Tissue Slide,Fixed-Formalin,Eye,Metastatic,Pre-Therapy,AEPI05N1,Closed To Accrual,Epidemiology,32
Tissue Slide,Fixed-Formalin,Eye,Metastatic,Pre-Therapy,ANBL00B1,Active,Neuroblastoma,32
Tissue Slide,Fixed-Formalin,Eye,Metastatic,Therapeutic Relapse,ARET0321,Temporarily Closed To Accrual,Retinoblastoma,66
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,On Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,21
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,ABTR01B1,Active,Biopathology and Translational Research,311
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,ABTR04B1,Active,Biopathology and Translational Research,14
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD0031,Complete,Hodgkin Disease,74
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD0321,Complete,Hodgkin Disease,1
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD0431,Complete,Hodgkin Disease,24
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,AHOD04B1,Closed To Accrual,Hodgkin Disease,703
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,ANHL0131,Complete,Non-Hodgkin Lymphoma,26
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-5941,Complete,Non-Hodgkin Lymphoma,4
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-5942,Complete,Hodgkin Disease,10
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-5961,Complete,Non-Hodgkin Lymphoma,26
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-B944,Complete,Hodgkin Disease,30
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Other/Not Specified,CCG-B947,Complete,Unknown/Unspecified,169
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Post-Therapy,A3973,Complete,Neuroblastoma,2
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Post-Therapy,ANBL00B1,Active,Neuroblastoma,2
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,121
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AALL08B1,Active,Acute Lymphoblastic Leukemia,29
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AALL1231,Active,Acute Lymphoblastic Leukemia,11
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,101
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ABTR04B1,Active,Biopathology and Translational Research,3
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD0031,Complete,Hodgkin Disease,106
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD0321,Complete,Hodgkin Disease,1
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,1014
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,AHOD1331,Active,Hodgkin Disease,22
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL04B1,Active,Non-Hodgkin Lymphoma,6
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL1131,Active,Non-Hodgkin Lymphoma,25
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ANHL12P1,Active,Non-Hodgkin Lymphoma,68
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,ARST08P1,Complete,Soft Tissue Sarcoma,8
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-5941,Complete,Non-Hodgkin Lymphoma,56
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,146
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,104
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,51
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Pre-Therapy,D9902,Active,Soft Tissue Sarcoma,15
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD0031,Complete,Hodgkin Disease,19
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD0321,Complete,Hodgkin Disease,2
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,AHOD04B1,Closed To Accrual,Hodgkin Disease,53
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,CCG-5961,Complete,Non-Hodgkin Lymphoma,15
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,CCG-B944,Complete,Hodgkin Disease,15
Tissue Slide,Fixed-Formalin,Lymph Node,Malignant,Therapeutic Relapse,CCG-B947,Complete,Unknown/Unspecified,16
Tissue Slide,Fixed-Formalin,Lymph Node,Metastatic,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,2
Tissue Slide,Fixed-Formalin,Lymph Node,Non-Malignant,Pre-Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,6
Tissue Slide,Fixed-Formalin,Lymph Node,Non-Malignant,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,7
Tissue Slide,Fixed-Formalin,Lymph Node,Non-Malignant,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,2
Tissue Slide,Fixed-Formalin,Lymph Node,Non-Malignant,Pre-Therapy,CCG-B947,Complete,Unknown/Unspecified,1
Tissue Slide,Fixed-Formalin,Lymph Node,"Non-Malignant, Diseased",Pre-Therapy,ABTR01B1,Active,Biopathology and Translational Research,4
Tissue Slide,Fixed-Formalin,Lymph Node,"Non-Malignant, Diseased",Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Tissue Slide,Fixed-Formalin,Lymph Node,Not Specified,Pre-Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,8
Tissue Slide,Fixed-Formalin,Lymph Node,Not Specified,Pre-Therapy,CCG-B944,Complete,Hodgkin Disease,8
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ABTR01B1,Active,Biopathology and Translational Research,16
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ACNS0121,Complete,Central Nervous System Tumors,99
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ACNS02B3,Active,Central Nervous System Tumors,5
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ACNS0822,Closed To Accrual,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ACNS0831,Active,Central Nervous System Tumors,2
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ADVL0813,Complete,Experimental Therapeutics,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ADVL0821,Complete,Experimental Therapeutics,41
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS0031,Complete,Ewing Sarcoma,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS02B1,Complete,Ewing Sarcoma,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS0331,Closed To Accrual,Ewing Sarcoma,30
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AEWS1031,Active,Ewing Sarcoma,23
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AHOD04B1,Closed To Accrual,Hodgkin Disease,33
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ANBL0032,Active,Neuroblastoma,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ANBL00B1,Active,Neuroblastoma,8
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ANBL0532,Temporarily Closed To Accrual,Neuroblastoma,8
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,AREN03B2,Active,Renal Tumors,1799
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0331,Complete,Soft Tissue Sarcoma,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0332,Complete,Soft Tissue Sarcoma,201
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0431,Complete,Soft Tissue Sarcoma,40
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST0531,Complete,Soft Tissue Sarcoma,13
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST08P1,Complete,Soft Tissue Sarcoma,97
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,ARST1321,Active,Soft Tissue Sarcoma,41
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,CCG-5961,Complete,Non-Hodgkin Lymphoma,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,On Therapy,D9902,Active,Soft Tissue Sarcoma,402
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A3961,Complete,Neuroblastoma,5499
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A3973,Complete,Neuroblastoma,7857
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A5962,Administratively Complete,Hodgkin Disease,283
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A5971,Complete,Non-Hodgkin Lymphoma,3123
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A9952,Complete,Central Nervous System Tumors,2749
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,A9961,Complete,Central Nervous System Tumors,2266
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0232,Closed To Accrual,Acute Lymphoblastic Leukemia,22
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL02P2,Closed To Accrual And Intervention,Acute Lymphoblastic Leukemia,2
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0331,Closed To Accrual,Acute Lymphoblastic Leukemia,33
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL03B1,Complete,Acute Lymphoblastic Leukemia,130
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0434,Closed To Accrual,Acute Lymphoblastic Leukemia,782
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL05B1,Active,Acute Lymphoblastic Leukemia,36
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0622,Closed To Accrual,Acute Lymphoblastic Leukemia,1
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL06N1,Active,Acute Lymphoblastic Leukemia,10
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL07P1,Complete,Acute Lymphoblastic Leukemia,17
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL08B1,Active,Acute Lymphoblastic Leukemia,51
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL0932,Active,Acute Lymphoblastic Leukemia,5
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AALL1131,Active,Acute Lymphoblastic Leukemia,18
Tissue Slide,Fixed-Formalin,Not Specified,Malignant,Other/Not Specified,AAML00P2,Complete,Acute Myeloid Leukemia,59
